S.NO,Product Description
76,Alexa Voice Service is a cloud-based service that provides APIs to interface with Alexa. 
77,Products built using AVS have access to Alexa's growing list of capabilities including all of the Alexa Skills. 
78,AVS provides cloud-based automatic speech recognition (ASR) and natural language understanding (NLU). 
79,There are no fees for companies looking to integrate Alexa into their products by using AVS. 
80,The voice of Amazon Alexa is generated by a long short-term memory artificial neural network. 
81,Alexa was able to help its users apply to jobs at McDonald?s using voice recognition services. 
82,It is the world's first employment service using voice command service.
83,Amazon announced that Alexa will soon be able to mimic celebrities voices costing $0.99 for each voice.
84,"Recently, Alexa has also started replying to Spanish voice commands in Spanish."
85,Amazon has also announced that they would make the speech recognition and natural language processing technology behind Alexa available for developers under the name of Amazon Lex. 
86,"Amazon Lex service would allow developers to create their own chatbots that can interact in a conversational manner, similar to that of Alexa. "
87,"Along with the connection to various Amazon services, the initial version will provide connectivity to Facebook Messenger. "
88,There are concerns about the access Amazon has to private conversations in the home
89,There are also concerns about non-verbal indications that can identify who is present in the home with non-stop audio pick-up from Alexa-enabled devices.
90,Amazon responds to these concerns by stating that the devices only stream recordings from the user's home when the 'wake word' activates the device.
91,Amazon uses past voice recordings sent to the cloud service to improve responses to future questions. 
92,Users can delete voice recordings that are associated with their account.
93,Alexa uses an address stored in the companion app when it needs a location.
94,Alexa uses the user's location to respond to requests for nearby restaurants or stores. 
95,"Similarly, Alexa uses the user's location for mapping-related requests."
96,"Amazon retains digital recordings of users' audio spoken after the ""wake word"". "
97,"The audio recordings are subject to demands by law enforcement, government agents, and other entities via subpoena. "
98,"Amazon publishes some information about the warrants, subpoenas and warrant-less demands it receives."
99,Echo could be connected and used to control a Tesla car. 
100,Some journalists voiced concerns about such levels of connectivity as it could be abused and used by hackers to take control of the car.
101,Alexa has been known to listen in on private conversation and store personal information which was hacked and sent to the hacker. 
102,"Although Amazon has announced that this was a rare occurrence, Alexa shows the dangers of using technology and sharing private information with robotics."
